,,,,,,,,kharif season,,,Rabi Season,,,,,,,
Name of the Zone,District ,Soil Type,Crop,Annual Rainfall (mm),Min-Temperature(Degrees Celsius),Max-Temperature(Degrees Celsius),Year,Area(Hectare)k,Production (Tonnes)k,Yield (Tonne/Hectare)k,Area(Hectare),Production (Tonnes),Yield (Tonne/Hectare),Market Price(max),Market price (min),Average Market price,"Area Irrigated more than once
More than Once",Gross area irrigated
Southern Telangana Zone,Mahbubnagar,"Red Soil, Sandy Loam",Cowpea,1092,16.9,38.7,2022-2023,4,102,25.5,0,0,0,6469.5,6095.6,6282.55,368610,370697
Northern Telangana Zone,Mancherial,"Black Soil, Red Soil",Dry Chillies,1092,16.9,38.7,2022-2023,390,2420,6.21,166,844,5.08,2500,2500,2500,209088,263511
Northern Telangana Zone,Mancherial,"Black Soil, Red Soil",Rice,1092,16.9,38.7,2022-2023,63784,194350,3.05,41820,136291,3.26,2600,2600,2600,209088,263511
Northern Telangana Zone,Mancherial,"Black Soil, Red Soil",Cotton,1092,16.9,38.7,2022-2023,67599,179734,2.66,67,178,2.66,7521,7220,7370.5,209088,263511
Central Telangana Zone,Medak,"Sandy Loam, Red Soil",Green Gram,847,16.9,38.5,2022-2023,627,331,0.53,0,0,0,7322,7322,7322,569906,573327
Central Telangana Zone,Medak,"Sandy Loam, Red Soil",Bengal Gram,847,16.9,38.5,2022-2023,3,3,1,349,304,0.87,5626.33,5051,5338.665,569906,573327
Central Telangana Zone,Medak,"Sandy Loam, Red Soil",Red Gram,847,16.9,38.5,2022-2023,3,3,1,349,304,0.87,7245.6,6367.2,6806.4,569906,573327
Central Telangana Zone,Medak,"Sandy Loam, Red Soil",Cowpea,847,16.9,38.5,2022-2024,2,1,0.5,3,3,1,7316.5,7138.5,7227.5,569906,573327
Central Telangana Zone,Medak,"Sandy Loam, Red Soil",Castor,847,16.9,38.5,2022-2025,9,6,0.67,4,5,1.25,5111,5111,5111,569906,573327
Central Telangana Zone,Medak,"Sandy Loam, Red Soil",Black Gram,847,16.9,38.5,2022-2025,257,138,0.54,4,6,1.5,6523.5,5945,6234.25,569906,573327
Central Telangana Zone,Medak,"Sandy Loam, Red Soil",Cotton,847,16.9,38.5,2022-2023,17917,48060,2.68,16,43,2.69,7050,7000,7025,569906,573327
Central Telangana Zone,Medak,"Sandy Loam, Red Soil",Groundnut,847,16.9,38.5,2022-2024,7,17,2.43,46,113,2.46,4948,4948,4948,569906,573327
Central Telangana Zone,Medak,"Sandy Loam, Red Soil",Dry Chillies,847,16.9,38.5,2022-2025,6,22,3.67,6,31,5.17,16500,14004,15252,569906,573327
Central Telangana Zone,Medak,"Sandy Loam, Red Soil",Maize,847,16.9,38.5,2022-2023,2136,5338,2.5,1362,7551,5.54,2289.3,2252,2270.65,569906,573327
Central Telangana Zone,Medak,"Sandy Loam, Red Soil",Sorghum,847,16.9,38.5,2022-2023,521,46909,90.04,0,0,0,2818.17,2653.17,2735.67,569906,573327
Southern Telangana Zone,Medchal Malkajgiri,"Red Soil, Sandy Loam",Maize,795,16.9,38.5,2022-2023,159,210,1.32,119,775,6.51,2090,2090,2090,44022,44022
Southern Telangana Zone,Medchal Malkajgiri,"Red Soil, Sandy Loam",Rice,795,16.9,38.5,2022-2023,7384,29514,4,5644,20364,3.61,2183,2183,2183,44022,44022
Central Telangana Zone,Mulugu,"Black Soil, Clayey Soil",Maize,1185,17.2,38.3,2022-2026,394,1230,3.12,2048,12945,6.32,1962,1962,1962,177206,177206
Central Telangana Zone,Mulugu,"Black Soil, Clayey Soil",Rice,1185,17.2,38.3,2022-2027,40505,122285,3.02,19777,66767,3.38,2203,2200,2201,177206,177206
Central Telangana Zone,Mulugu,"Black Soil, Clayey Soil",Cotton,1185,17.2,38.3,2022-2028,11162,32370,2.9,20,58,2.9,7070,6500,6785,177206,177206
Southern Telangana Zone,Nagarkurnool,"Red Soil, Sandy Loam",Red Gram,677,17.6,38.6,2022-2023,1049,778,0.74,586,645,1.1,7089,6416,6752.5,489852,489852
Southern Telangana Zone,Nagarkurnool,"Red Soil, Sandy Loam",Groundnut,677,17.6,38.6,2022-2024,154,339,2.2,47682,120922,2.54,6469,4259,5364,489852,489852
Southern Telangana Zone,Nagarkurnool,"Red Soil, Sandy Loam",Castor,677,17.6,38.6,2022-2025,67,20,0.3,644,609,0.95,5355,5257,5306,489852,489852
Southern Telangana Zone,Nagarkurnool,"Red Soil, Sandy Loam",Black Gram,677,17.6,38.6,2022-2027,36,47,1.31,5576,7143,1.28,8528,8089,8308.5,489852,489852
Southern Telangana Zone,Nagarkurnool,"Red Soil, Sandy Loam",Cotton,677,17.6,38.6,2022-2023,141458,327850,2.32,91,211,2.32,5355,5257,5306,489852,489852
Southern Telangana Zone,Nagarkurnool,"Red Soil, Sandy Loam",Green Gram,677,17.6,38.6,2022-2023,15,10,0.67,43,50,1.16,7351,7351,7351,489852,489852
Southern Telangana Zone,Nagarkurnool,"Red Soil, Sandy Loam",Minor Millets,677,17.6,38.6,2022-2023,6,6,1,0,0,0,3889,3889,3889,489852,489852
Southern Telangana Zone,Nagarkurnool,"Red Soil, Sandy Loam",Maize,677,17.6,38.6,2022-2023,14906,66034,4.43,8478,45120,5.32,2414,2414,2414,489852,489852
Southern Telangana Zone,Nagarkurnool,"Red Soil, Sandy Loam",Rice,677,17.6,38.6,2022-2023,49811,164476,3.3,62949,219251,3.48,2601,2558,2579.5,489852,489852
Southern Telangana Zone,Nalgonda,"Red Soil, Sandy Loam",Castor,702,18.1,38.4,2022-2023,3,2,0.67,101,123,1.22,5172,5172,5172,1142039,1142039
Southern Telangana Zone,Nalgonda,"Red Soil, Sandy Loam",Red Gram,702,18.1,38.4,2022-2023,1,2,2,19,30,1.58,7769.5,6473.75,7121.625,1142039,1142039
Southern Telangana Zone,Nalgonda,"Red Soil, Sandy Loam",Black Gram,702,18.1,38.4,2022-2024,30,21,0.7,22,35,1.59,6593,6593,6593,1142039,1142039
Southern Telangana Zone,Nalgonda,"Red Soil, Sandy Loam",Groundnut,702,18.1,38.4,2022-2025,27,39,1.44,8414,19571,2.33,6759,4634,5696.5,1142039,1142039
Southern Telangana Zone,Nalgonda,"Red Soil, Sandy Loam",Cowpea,702,18.1,38.4,2022-2026,0,0,0,204,184,0.9,6009,5750,5879.5,1142039,1142039
Southern Telangana Zone,Nalgonda,"Red Soil, Sandy Loam",Cotton,702,18.1,38.4,2022-2023,276238,589849,2.14,45,96,2.13,5352.86,6102.57,5727.715,1142039,1142039
Southern Telangana Zone,Nalgonda,"Red Soil, Sandy Loam",Sorghum,702,18.1,38.4,2022-2023,78,53,0.68,250,516,2.06,4706,4706,4706,1142039,1142039
Southern Telangana Zone,Nalgonda,"Red Soil, Sandy Loam",Green Gram,702,18.1,38.4,2022-2023,44,39,0.89,508,765,1.51,6764.5,5922.5,6343.5,1142039,1142039
Southern Telangana Zone,Nalgonda,"Red Soil, Sandy Loam",Maize,702,18.1,38.4,2022-2023,25,114,4.56,132,859,6.51,2061.75,1976.25,2019,1142039,1142039
Southern Telangana Zone,Nalgonda,"Red Soil, Sandy Loam",Rice,702,18.1,38.4,2022-2023,204092,684116,3.35,225262,837749,3.72,2060,2060,2060,1142039,1142039
Northern Telangana Zone,Nirmal,"Black Soil, Red Soil, Sandy Loam",Red Gram,1060,15.9,39.2,2022-2023,1,2,2,27370,44312,1.62,7277,6767,7022,461579,461579
Northern Telangana Zone,Nirmal,"Black Soil, Red Soil, Sandy Loam",Turmeric,1060,15.9,39.2,2022-2023,4773,35144,7.36,2,15,7.5,10456,7171,8813.5,461579,461579
Northern Telangana Zone,Nirmal,"Black Soil, Red Soil, Sandy Loam",wheat,1060,15.9,39.2,2022-2023,0,0,0,255,562,2.2,2504,2011,2257.5,461579,461579
Northern Telangana Zone,Nirmal,"Black Soil, Red Soil, Sandy Loam",Sorghum,1060,15.9,39.2,2022-2023,16,11,0.69,2606,5306,2.04,2323,2323,2323,461579,461579
Northern Telangana Zone,Nirmal,"Black Soil, Red Soil, Sandy Loam",Sesame,1060,15.9,39.2,2022-2023,0,0,0,2414,1523,0.63,10159,9111,9635,461579,461579
Northern Telangana Zone,Nirmal,"Black Soil, Red Soil, Sandy Loam",Maize,1060,15.9,39.2,2022-2023,11270,52924,4.7,33926,278329,8.2,2000,2000,2000,461579,461579
Northern Telangana Zone,Nirmal,"Black Soil, Red Soil, Sandy Loam",Cotton,1060,15.9,39.2,2022-2023,57672,199817,3.46,1,3,3,7421,6600,7010.5,461579,461579
Northern Telangana Zone,Nirmal,"Black Soil, Red Soil, Sandy Loam",Soyabean,1060,15.9,39.2,2022-2023,46987,85939,1.83,44,56,1.27,4129,3789,3959,461579,461579
Northern Telangana Zone,Nizamabad,"Black Soil, Sandy Loam",Cotton,991,16,39,2022-2023,829,2277,2.75,2,5,2.5,6641.67,6641.67,6641.67,629985,966995
Northern Telangana Zone,Nizamabad,"Black Soil, Sandy Loam",Soyabean,991,16,39,2022-2023,23796,43904,1.85,324,156,0.48,4350.75,4265.25,4308,629985,966995
Northern Telangana Zone,Nizamabad,"Black Soil, Sandy Loam",Turmeric,991,16,39,2022-2023,8868,53784,6.06,1,6,6,11389,9000,10194.5,629985,966995
Northern Telangana Zone,Nizamabad,"Black Soil, Sandy Loam",Rice,991,16,39,2022-2023,169235,676094,4,161805,629421,3.89,2117.5,2114.64,2116.07,629985,966995
Northern Telangana Zone,Nizamabad,"Black Soil, Sandy Loam",Red Gram,991,16,39,2022-2023,0,0,0,8627,14709,1.7,2060,2040,2050,629985,966995
Northern Telangana Zone,Nizamabad,"Black Soil, Sandy Loam",sesame,991,16,39,2022-2023,0,0,0,5201,4280,0.82,11510,10200,10855,629985,966995
Northern Telangana Zone,Nizamabad,"Black Soil, Sandy Loam",Maize,991,16,39,2022-2023,15183,89595,5.9,9694,82128,8.47,2155.5,2155.5,2155.5,629985,966995
